index,name,status,group_year,movie_id
656,gordon,i,1992,552592
657,vicki,t,1942,10166220
658,vicki,t,1934,28678250
659,vicki,t,1989,4726
660,vicki,t,1989,1640329
661,vicki,t,1989,20953257
662,vicki,b,1957,2346581
663,vicki,b,1957,4415256
664,vicki,b,1957,5501492
665,vicki,i,1998,11076438
666,vicki,i,2002,226664
667,vicki,i,2010,25542269
668,vicki,i,2009,15860207
669,vicki,i,2004,991410
670,the,i,2001,18176131
671,the,i,1998,10354785
672,the,i,1990,1039031
673,the,i,1992,4751032
674,the,i,1989,12775343
675,harvey,t,2011,4276475
676,harvey,t,2011,3517536
677,harvey,t,2011,21015620
678,harvey,b,1937,4015188
679,harvey,b,1937,24143437
680,harvey,b,1937,13613357
681,harvey,i,1989,4726
682,harvey,i,1995,21132353
683,harvey,i,1991,39311
684,harvey,i,1999,222500
685,harvey,i,1952,74011
686,vale,i,1989,4726
687,vale,i,2007,16606034
688,vale,i,1990,21675573
689,vale,i,2001,5848001
690,alfred,t,2004,481605
691,alfred,t,2004,2809621
692,alfred,t,2004,564947
693,alfred,b,1928,172005
694,alfred,i,2008,12918018
695,alfred,i,2012,29075630
696,alfred,i,1989,21412109
697,alfred,i,1992,4728
698,alfred,i,1997,1191380
699,robin,t,1952,723582
700,robin,t,1952,3370990
701,robin,t,1952,5557065
702,robin,t,2003,6542034
703,robin,t,2003,293165
704,robin,t,2003,1181107
705,robin,t,2011,13713239
706,robin,t,2011,29373289
707,robin,t,2011,26340083
708,robin,t,1938,62084
709,robin,i,1974,19701
710,robin,i,2007,20889979
711,robin,i,1995,806082
712,robin,i,1991,261402
713,robin,i,1998,891829
714,max,t,2005,826409
715,max,t,2005,1524596
716,max,t,2005,1424754
717,max,t,1983,262465
718,max,t,1983,598868
719,max,t,1983,583932
720,max,t,1997,724258
721,max,t,1997,394792
722,max,t,1997,204019
723,max,t,1969,2422489
724,max,t,1969,2286484
725,max,t,1969,2909509
726,max,b,2011,468229
727,max,b,2011,25920477
728,max,b,2011,27702708
729,max,b,1992,4728
730,max,b,1992,171026
731,max,b,1992,736222
732,max,i,1965,4836239
733,max,i,1987,673472
734,max,i,2009,22857151
735,max,i,1950,76368
736,max,i,2013,32784153
737,ivy,t,2010,23292052
738,ivy,t,2010,21264828
739,ivy,t,1992,555857
740,ivy,b,2000,4729
741,ivy,b,2000,2338401
742,ivy,b,2000,535969
743,ivy,i,2004,739286
744,ivy,i,2006,3936140
745,ivy,i,1931,11594316
746,ivy,i,1941,2490751
747,ivy,i,1998,2723452
748,wilson,i,2013,30951080
749,wilson,i,2009,15828540
750,wilson,i,1999,491323
751,wilson,i,1997,1344253
752,wilson,i,2005,13027958
753,grayson,t,2009,3071743
754,grayson,t,2009,4270540
755,grayson,t,2009,19054381
756,grayson,t,1992,20836034
757,grayson,t,1992,23658166
758,grayson,i,1997,4729
759,grayson,i,1971,4450552
760,grayson,i,2001,4073844
761,grayson,i,1948,31032524
762,grayson,i,1956,14268823
763,dick,t,1951,84213
764,dick,t,1951,7241082
765,dick,t,1951,3255424
766,dick,b,1935,15072401
767,dick,b,1935,15538307
768,dick,b,1935,12383140
769,dick,b,1945,24227175
770,dick,b,1945,10335706
771,dick,b,1945,26898249
772,dick,i,1980,1186616
773,dick,i,2000,6086631
774,dick,i,1987,445066
775,dick,i,1997,3787708
776,dick,i,1993,441315
777,meridian,i,1995,4730
778,chase,t,1980,534408
779,chase,t,1980,6068626
780,chase,b,1998,142457
781,chase,b,1998,4730
782,chase,b,1998,1332901
783,chase,b,2009,3710785
784,chase,b,2009,21971275
785,chase,b,2009,11222156
786,chase,i,2004,19417127
787,chase,i,2013,36699915
788,chase,i,1992,705925
789,chase,i,2002,5230818
790,chase,i,2006,5905476
791,eric,t,1956,5295514
792,eric,t,1956,5035
793,eric,t,1956,9465102
794,eric,t,1962,14285478
795,eric,t,1962,18917513
796,eric,t,1998,19479460
797,eric,t,1998,19715
798,eric,t,1998,232795
799,eric,t,2013,33509716
800,eric,t,2013,22933412
801,eric,t,2013,21678052
802,eric,t,1941,29500246
803,eric,b,1971,175668
804,eric,b,1971,12293235
805,eric,i,2003,234382
806,eric,i,2006,4126833
807,eric,i,1989,12232045
808,eric,i,2005,30865328
809,eric,i,2002,4200829
810,parks,i,2004,901421
811,parks,i,1941,5224
812,parks,i,2002,3306822
813,parks,i,2007,12044905
814,parks,i,1999,2727959
815,jerry,t,1930,9122309
816,jerry,t,1930,5018144
817,jerry,t,1930,10609979
818,jerry,t,1954,1587300
819,jerry,t,1954,2194915
820,jerry,t,1954,3782305
821,jerry,t,1984,482383
